id,origin,destination,airline,fare,travel_date,search_date,booking_window,created_at
220,DEL,BOM,Air India,6314,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
221,DEL,BOM,IndiGo,6425,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
222,DEL,BOM,Air India,6425,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
223,DEL,BOM,Air India,6425,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
224,DEL,BOM,Air India,6425,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
225,DEL,BOM,IndiGo,6425,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
226,DEL,BOM,Air India,6425,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
227,DEL,BOM,IndiGo,6425,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
228,DEL,BOM,Air India,6425,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
229,DEL,BOM,IndiGo,6425,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
230,DEL,BOM,Air India,6425,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
231,DEL,BOM,Air India,6425,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
232,DEL,BOM,IndiGo,6425,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
233,DEL,BOM,IndiGo,6425,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
234,DEL,BOM,Air India Express,6779,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
235,DEL,BOM,Air India,6792,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
236,DEL,BOM,IndiGo,6793,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
237,DEL,BOM,Akasa Air,6880,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
238,DEL,BOM,Akasa Air,6880,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
239,DEL,BOM,Akasa Air,6880,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
240,DEL,BOM,IndiGo,7055,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
241,DEL,BOM,IndiGo,7055,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
242,DEL,BOM,IndiGo,7055,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
243,DEL,BOM,IndiGo,7055,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
244,DEL,BOM,Air India Express,7261,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
245,DEL,BOM,IndiGo,7370,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
246,DEL,BOM,IndiGo,7370,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
247,DEL,BOM,IndiGo,7370,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
248,DEL,BOM,Air India,7553,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
249,DEL,BOM,Air India,7685,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
250,DEL,BOM,Air India,7685,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
251,DEL,BOM,Air India,7685,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
252,DEL,BOM,Akasa Air,7716,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
253,DEL,BOM,Air India,7879,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
254,DEL,BOM,Air India,8052,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
255,DEL,BOM,IndiGo,8053,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
256,DEL,BOM,IndiGo,8053,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
257,DEL,BOM,IndiGo,8053,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
258,DEL,BOM,Air India,8136,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
259,DEL,BOM,Air India,8136,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
260,DEL,BOM,Akasa Air,8419,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
261,DEL,BOM,IndiGo,8473,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
262,DEL,BOM,Akasa Air,8720,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
263,DEL,BOM,IndiGo,8998,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
264,DEL,BOM,Akasa Air,9360,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
265,DEL,BOM,Air India,9569,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
266,DEL,BOM,Air India,9569,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
267,DEL,BOM,Air India,9905,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
268,DEL,BOM,Air India,9968,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
269,DEL,BOM,Air India,13239,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
270,DEL,BOM,SpiceJet,22551,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
